trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-168.5861414236004,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.25}",25,0,-161.5648635463304,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",25,0,-60.52444971840111,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.0625}",20,0,-77.36195077443611,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.04}",20,0,2.1888352231257966,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",25,0,-52.61626212127171,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",25,0,-9.58140833676575,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.015625}",25,0,-107.97262531266546,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",20,14,14.08036079970093,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.01}",30,17,6.556632739684609,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",30,20,14.234398438507975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",30,19,15.05754660105513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",20,0,10.714420987914956,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,6,-7.787142527591882,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",25,16,12.28912424961199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
