trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.17120513946219,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.5857944303325,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.77744086120524,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,7,-118.33608947736745,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.55891182712851,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.1432608269532,"{0: 20, 1: 3, 2: 8, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.5758919858501,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.66691866587175,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.74791617713782,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.9556445586567,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.81252392046833,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.77363183245208,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.40218494175157,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.29515951237272,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.85529695861051,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-259.5335923584453,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.08543550828405,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.47390710913655,"{0: 16, 1: 1, 2: 4, 3: 4, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.38726371763553,"{0: 16, 1: 4, 2: 3, 3: 3, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.32634543850604,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-135.28715779834135,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-85.35533603827153,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-184.26484292357873,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-248.755705757451,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 6}",0
5,True,"{'a': 0, 'e': 0}",25,0,-254.37779484050554,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",25,0,-126.11355490450663,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-117.13888060721052,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-188.16937328782856,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-49.28948245972332,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-69.40208820765805,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
